Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
"12","2015","@Australia","Australia","1","284203","160","14886","22","31252","138"
"12","2015","@artsculturegov","AusGov Arts&Culture","1","123571","66","179","39","142","21"
"12","2015","@TourismAus","Tourism Australia","1","92479","87","570","18","683","84"
"12","2015","@headspace_aus","headspace","1","54000","47","229","18","246","22"
"12","2015","@BOM_Qld","BOM Queensland","1","50790","74","509","9","349","3"
"12","2015","@ABSCensus","Census Australia","1","49726","15","85","0","107","2"
"12","2015","@CSIROnews","CSIRO","1","46904","176","1406","30","1360","45"
"12","2015","@dfat","DFAT","1","45116","242","1412","83","1039","67"
"12","2015","@ato_gov_au","ato.gov.au","1","39419","116","238","0","139","79"
"12","2015","@BOM_Vic","BOM Victoria","1","38795","134","2143","19","1316","8"
"12","2015","@AusHumanRights","AusHumanRights","1","37713","466","1142","307","713","166"
"12","2015","@AboutTheHouse","About the House","1","35430","66","66","10","43","8"
"12","2015","@auscouncilarts","Australia Council","1","32310","50","248","24","193","9"
"12","2015","@nlagovau","National Library Aus","1","31665","146","218","98","175","66"
"12","2015","@NatGalleryAus","NationalGalleryAus","1","31522","199","437","77","680","51"
"12","2015","@BOM_au","BOM Australia","1","30874","93","1689","8","809","21"
"12","2015","@healthgovau","Department of Health","1","30398","151","759","12","412","31"
"12","2015","@BOM_NSW","BOM New South Wales","1","29500","77","1192","16","483","7"
"12","2015","@RBAInfo","RBA","1","29437","11","69","0","16","0"
"12","2015","@nma","NationalMuseumAust","1","28147","119","224","31","352","42"
"12","2015","@BOM_WA","BOM WA","1","27807","102","373","35","277","7"
"12","2015","@ABSStats","AU Bureau of Stats","1","24940","64","259","2","179","2"
"12","2015","@ScreenAustralia","Screen Australia","1","24722","242","543","95","727","131"
"12","2015","@business_gov_au","business.gov.au","1","24418","75","187","5","125","6"
"12","2015","@Ausport","Australian Sport","1","24415","82","162","58","218","44"
"12","2015","@AMSA_News","AMSA News","1","23567","10","18","2","25","1"
"12","2015","@AustralianArmy","The Australian Army","1","22397","20","147","6","260","3"
"12","2015","@Mike_Rann","Mike Rann","1","21665","236","249","165","306","22"
"12","2015","@Australian_Navy","RoyalAustralianNavy","1","21229","381","1077","244","1308","18"
"12","2015","@AuSenate","Australian Senate","1","21150","106","264","8","150","29"
"12","2015","@nhmrc","NHMRC","1","19974","7","21","2","21","5"
"12","2015","@MeetinAustralia","Biz Events Australia","1","18822","77","103","7","137","75"
"12","2015","@Aus_AirForce","RAAF - Aus_AirForce","1","17633","47","183","13","354","2"
"12","2015","@AWMemorial","Aust War Memorial","1","17430","75","460","12","452","3"
"12","2015","@DeptDefence","DeptDefenceAustralia","1","16813","111","405","56","494","21"
"12","2015","@AusAmbUSA","Kim Beazley","1","15661","10","115","4","113","3"
"12","2015","@MoneySmartTeam","MoneySmartTeam","1","15639","61","219","7","117","0"
"12","2015","@indigenous_gov","indigenous_gov","1","15634","35","74","7","67","9"
"12","2015","@PortraitAu","Portrait Gallery","1","14158","32","90","7","106","19"
"12","2015","@experiment_arts","Experimental Arts","1","13533","0","0","0","0","0"
"12","2015","@fairwork_gov_au","Fair Work Ombudsman","1","12708","77","165","3","66","28"
"12","2015","@DubesAustralia","Paul Grigson","1","12462","295","552","3","754","211"
"12","2015","@ACTPol_Traffic","ACTPol_Traffic","1","12317","38","98","0","21","11"
"12","2015","@FutureUnlimited","Study in Australia","1","12215","3","3","2","3","1"
"12","2015","@RecogniseAU","RECOGNISE","1","12201","105","255","35","275","54"
"12","2015","@ACTPolicing","ACT Policing","1","12172","50","226","1","150","3"
"12","2015","@TroveAustralia","Trove","1","11468","55","182","10","159","10"
"12","2015","@ASIC_Connect","ASIC Connect","1","11405","40","35","1","26","9"
"12","2015","@Austrade","Austrade","1","11294","24","175","7","116","11"
"12","2015","@naagovau","NationalArchivesAus","1","11025","29","90","2","46","10"
"12","2015","@Eduspokesperson","Eduspokesperson","1","10997","22","32","2","33","5"
"12","2015","@DeptAgNews","Dept Ag & Water","1","10628","70","107","31","58","37"
"12","2015","@CommsAu","Dept. Communications","1","10400","111","243","19","119","51"
"12","2015","@AusLawReform","ALRC","1","10315","17","76","5","27","1"
"12","2015","@DIBPAustralia","DIBP Australia","1","10173","53","27","2","37","38"
"12","2015","@ANMMuseum","Nat. Maritime Museum","1","9950","40","97","12","107","25"
"12","2015","@Scamwatch_gov","Scamwatch_gov_au","1","9936","27","105","11","29","3"
"12","2015","@AusElectoralCom","AEC","1","9372","19","57","0","28","13"
"12","2015","@asicmedia","ASIC Media","1","9187","60","76","0","40","1"
"12","2015","@ParlLibrary","Parliament Library","1","9164","16","35","0","15","0"
"12","2015","@acmadotgov","The ACMA","1","8677","127","175","29","83","41"
"12","2015","@ArtStartGrants","ArtStartGrants","0","8429","0","0","0","0","0"
"12","2015","@CreativePships","CreativePartnerships","1","8428","56","43","6","64","28"
"12","2015","@acccgovau","ACCC","1","8279","51","197","1","70","9"
