Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
2,2015,@Australia,Australia,1,210133,140,8989,6,14786,177
2,2015,@TourismAus,Tourism Australia,1,65989,72,229,0,216,104
2,2015,@CSIROnews,CSIRO,1,35647,188,1400,21,798,72
2,2015,@dfat,DFAT,1,34917,142,720,27,397,68
2,2015,@headspace_aus,headspace,1,28737,85,518,26,370,40
2,2015,@AusHumanRights,AusHumanRights,1,28461,229,1507,143,558,77
2,2015,@nlagovau,National Library Aus,1,26422,213,856,92,505,116
2,2015,@auscouncilarts,Australia Council,1,25199,84,257,35,131,31
2,2015,@artsculturegov,AusGov Arts&Culture,1,24549,147,103,124,57,19
2,2015,@RBAInfo,RBA,1,23812,13,417,1,111,0
2,2015,@AMSA_News,AMSA News,1,23755,9,13,3,4,3
2,2015,@NatGalleryAus,National Gallery ,1,23298,93,125,21,175,44
2,2015,@ato_gov_au,ato.gov.au,1,22585,110,257,2,96,70
2,2015,@ABSStats,AU Bureau of Stats,1,20936,43,134,1,58,0
2,2015,@Mike_Rann,Mike Rann,1,20787,66,82,14,63,11
2,2015,@healthgovau,Department of Health,1,20710,74,367,0,128,15
2,2015,@AboutTheHouse,About the House,1,20586,133,247,4,93,32
2,2015,@ABSCensus,Census Australia,1,20227,49,609,0,357,13
2,2015,@ScreenAustralia,Screen Australia,1,19949,89,224,3,293,112
2,2015,@Ausport,Australian Sport,1,18369,231,921,143,990,173
2,2015,@business_gov_au,business.gov.au,1,17801,58,152,8,65,6
2,2015,@AuSenate,Australian Senate,1,16422,296,865,31,290,125
2,2015,@nma,NationalMuseumofAust,1,15082,69,233,19,246,70
2,2015,@nhmrc,NHMRC,1,14904,11,79,0,41,10
2,2015,@AusAmbUSA,Kim Beazley,1,14490,103,140,63,171,38
2,2015,@AustralianArmy,The Australian Army,1,14409,25,35,16,34,1
2,2015,@Australian_Navy,RoyalAustralianNavy,1,13589,222,1466,88,1216,10
2,2015,@indigenous_gov,Closing the Gap,1,12769,117,418,40,208,38
2,2015,@AWMemorial,Aust War Memorial,1,12511,102,470,27,349,7
2,2015,@experiment_arts,Experimental Arts,1,12305,2,2,0,4,3
2,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,11231,110,556,18,587,9
2,2015,@FutureUnlimited,Study in Australia,1,10848,7,0,3,3,1
2,2015,@ACTPol_Traffic,ACTPol_Traffic,1,10735,62,106,0,14,6
2,2015,@BOM_Qld,BOM Queensland,1,10011,122,2434,15,701,9
2,2015,@fairwork_gov_au,Fair Work Ombudsman,1,9701,88,269,3,126,30
2,2015,@NPG_Canberra,Portrait Gallery,1,9637,25,36,11,34,38
2,2015,@Eduspokesperson,Eduspokesperson,1,9456,20,18,13,7,0
2,2015,@RecogniseAU,RECOGNISE,1,9263,152,383,78,255,108
2,2015,@DeptDefence,Dept of Defence,1,9233,136,602,29,402,63
2,2015,@AusLawReform,ALRC,1,9104,54,157,22,39,26
2,2015,@DubesAustralia,Dr David Engel,1,8926,69,129,1,54,101
2,2015,@TroveAustralia,Trove,1,8848,113,447,28,303,44
2,2015,@ParlLibrary,Parliament Library,1,8658,20,62,0,22,0
2,2015,@Austrade,Austrade,1,8535,45,105,16,62,20
2,2015,@ANMMuseum,Nat. Maritime Museum,1,8496,44,118,8,87,28
