Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
4,2015,@Australia,Australia,1,227762,169,9709,9,18150,147
4,2015,@TourismAus,Tourism Australia,1,71465,38,175,1,286,40
4,2015,@CSIROnews,CSIRO,1,37624,196,1268,21,787,61
4,2015,@dfat,DFAT,1,36483,261,1056,56,640,161
4,2015,@AusHumanRights,AusHumanRights,1,30642,255,493,145,189,97
4,2015,@headspace_aus,headspace,1,30044,58,320,15,248,25
4,2015,@nlagovau,National Library Aus,1,28251,111,410,58,256,78
4,2015,@NatGalleryAus,National Gallery ,1,27975,61,103,14,164,15
4,2015,@nma,NationalMuseumofAust,1,26713,83,291,23,280,45
4,2015,@auscouncilarts,Australia Council,1,26290,66,85,42,85,21
4,2015,@artsculturegov,AusGov Arts&Culture,1,26031,139,77,117,63,9
4,2015,@RBAInfo,RBA,1,25172,17,248,0,79,0
4,2015,@ato_gov_au,ato.gov.au,1,24096,150,430,3,160,79
4,2015,@AMSA_News,AMSA News,1,23648,27,54,12,30,6
4,2015,@healthgovau,Department of Health,1,21857,82,387,0,165,8
4,2015,@ABSStats,AU Bureau of Stats,1,21688,22,55,0,29,0
4,2015,@ScreenAustralia,Screen Australia,1,21030,149,367,29,449,164
4,2015,@AboutTheHouse,About the House,1,20917,75,128,7,49,12
4,2015,@Mike_Rann,Mike Rann,1,20753,104,122,22,125,31
4,2015,@ABSCensus,Census Australia,1,20538,45,296,0,187,12
4,2015,@Ausport,Australian Sport,1,19660,87,98,66,70,18
4,2015,@business_gov_au,business.gov.au,1,18809,69,171,7,96,9
4,2015,@AuSenate,Australian Senate,1,17170,110,267,35,116,19
4,2015,@nhmrc,NHMRC,1,15792,13,87,0,34,17
4,2015,@AustralianArmy,The Australian Army,1,15403,95,379,63,394,14
4,2015,@AWMemorial,Aust War Memorial,1,14867,258,1232,97,1049,30
4,2015,@AusAmbUSA,Kim Beazley,1,14805,47,82,30,82,12
4,2015,@Australian_Navy,RoyalAustralianNavy,1,14516,476,2435,207,2358,37
4,2015,@indigenous_gov,Closing the Gap,1,13588,67,286,13,141,25
4,2015,@experiment_arts,Experimental Arts,1,12804,0,0,0,0,0
4,2015,@NPG_Canberra,Portrait Gallery,1,12585,12,18,3,18,12
4,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,12030,123,294,52,340,9
4,2015,@BOM_Qld,BOM Queensland,1,12019,68,606,9,216,6
4,2015,@FutureUnlimited,Study in Australia,1,11162,14,25,2,21,10
4,2015,@ACTPol_Traffic,ACTPol_Traffic,1,11089,87,226,2,18,11
4,2015,@DeptDefence,Dept of Defence,1,10157,156,939,37,901,44
4,2015,@fairwork_gov_au,Fair Work Ombudsman,1,9963,82,210,2,70,31
4,2015,@RecogniseAU,RECOGNISE,1,9758,59,271,28,204,45
4,2015,@Eduspokesperson,Eduspokesperson,1,9747,16,47,0,18,2
4,2015,@MoneySmartTeam,MoneySmartTeam,1,9688,55,180,10,107,0
4,2015,@TroveAustralia,Trove,1,9642,86,324,17,192,36
4,2015,@DubesAustralia,Paul Grigson,1,9534,135,228,7,123,175
4,2015,@AusLawReform,ALRC,1,9373,29,105,8,24,15
4,2015,@naagovau,NationalArchivesAus,1,9045,31,56,6,48,31
4,2015,@Austrade,Austrade,1,9012,49,65,23,62,4
4,2015,@ASIC_Connect,ASIC Connect,1,9006,29,16,0,12,18
4,2015,@ANMMuseum,Nat. Maritime Museum,1,8875,93,274,22,214,71
4,2015,@ParlLibrary,Parliament Library,1,8794,19,48,0,10,0
4,2015,@CommsAu,Dept. Communications,1,8644,93,225,22,127,55
4,2015,@DeptAgNews,Dept of Agriculture,1,8625,25,38,6,18,24
4,2015,@AusElectoralCom,AEC,1,8428,21,140,2,26,7
4,2015,@SCAMwatch_gov,SCAMwatch_gov_au,1,8274,24,219,7,48,0
4,2015,@ArtStartGrants,ArtStartGrants,0,8263,8,22,0,9,7
4,2015,@ACTPolicing,ACT Policing,1,8236,58,308,8,104,5
4,2015,@Theatre_OzCo,Theatre,1,8136,0,0,0,0,0
4,2015,@DIBPAustralia,DIBP Australia,1,8013,71,60,0,26,51
4,2015,@G20Australia,Australia G20,1,7920,0,0,0,0,0
4,2015,@acmadotgov,The ACMA,1,7803,84,253,17,94,22
4,2015,@CreativePships,CreativePartnerships,1,7440,66,28,27,23,26
4,2015,@australiascreen,australianscreen,1,7107,19,33,2,34,8
4,2015,@BOM_Vic,BOM Victoria,1,6889,69,343,7,183,1
4,2015,@BOM_NSW,BOM New South Wales,1,6719,123,2026,9,559,3
4,2015,@OzDay,Australia Day,1,6611,8,13,6,26,0
4,2015,@ABARES,ABARES,1,6543,17,21,5,15,5
4,2015,@asicmedia,ASIC Media,1,6524,45,115,0,79,15
4,2015,@SpaceAustralia,Australian Space,1,6445,0,0,0,0,0
4,2015,@AustraliaUN,Gillian Bird,1,6437,41,96,24,67,7
4,2015,@aihw,AIHW,0,6350,4,11,0,3,3
4,2015,@CanberraDSN,CanberraDSN,1,6055,18,139,0,141,20
4,2015,@Aus_ScienceWeek,NationalScienceWeek,0,5535,137,134,76,86,57
4,2015,@AFPmedia,AFP National Media,1,5411,14,205,1,74,4
4,2015,@AusHCPak,Peter Heyward,0,5149,42,76,21,127,20
4,2015,@MeetinAustralia,Biz Events Australia,1,5107,64,105,24,156,21
4,2015,@BOM_au,BOM Australia,1,5072,40,593,1,141,0
4,2015,@CASABriefing,CASA,1,4985,65,83,3,67,22
4,2015,@AusCustomsNews,Australian Customs,1,4924,27,55,1,29,18
4,2015,@ItStopsWithMe,Racism.ItStopsWithMe,1,4918,27,18,8,13,19
4,2015,@ACCCProdSafety,ACCC Product Safety,1,4906,48,180,3,30,5
4,2015,@acccgovau,ACCC,1,4890,34,78,3,23,4
4,2015,@eHealthAus,NEHTA eHealth,1,4762,45,65,3,51,12
4,2015,@AirservicesNews,AirservicesAustralia,1,4724,57,162,20,57,25
4,2015,@MoAD_Canberra,MuseumofAusDemocracy,1,4592,96,111,63,73,30
4,2015,@FSANZnews,FoodStandardsAusNZ,1,4496,34,69,0,37,4
4,2015,@CybersmartACMA,Cybersmart,0,4489,13,9,5,7,5
4,2015,@CPOACT,CPOACT,1,4460,10,20,1,27,9
4,2015,@arc_gov_au,ARC,1,4431,19,22,10,21,4
4,2015,@NFSAonline,NFSAonline,1,4421,147,234,14,215,93
4,2015,@HealthInfoNet,HealthInfoNet,1,3925,101,33,82,9,9
4,2015,@atsbinfo,ATSB,1,3877,18,89,0,49,0
4,2015,@AusAntarctic,Antarctic Division,1,3861,29,76,3,68,4
4,2015,@DonateLifeToday,Donate Life Today,1,3788,19,46,6,24,4
4,2015,@BOM_WA,BOM WA,1,3781,97,425,18,142,6
4,2015,@Centrelink,Centrelink,1,3751,216,14,4,13,216
4,2015,@HumanServicesAU,Human Services,1,3740,178,70,1,43,124
4,2015,@PSInnovate,APS Innovation,1,3662,27,24,12,23,11
4,2015,@AusUnlimited,Australia Unlimited,1,3656,67,126,6,120,77
4,2015,@ausoftheyear,AusoftheYearAwards,1,3595,26,62,15,62,23
4,2015,@anti_doping,ASADA Anti-Doping,1,3575,5,21,1,12,1
4,2015,@AICriminology,AIC,1,3490,3,8,0,2,1
4,2015,@IDPwD,IDPwD,1,3470,11,27,5,11,0
4,2015,@Aus_Industry,AusIndustry,1,3433,0,0,0,0,0
4,2015,@AusAmbJP,Bruce Miller,1,3417,173,291,56,367,40
4,2015,@AusHouseLondon,Aus. High Commission,1,3417,70,65,49,56,12
4,2015,@BOM_SA,BOM South Australia,1,3399,54,224,9,156,1
4,2015,@ACNC_gov_au,ACNC,1,3319,43,154,5,88,7
4,2015,@AusAmbIsrael,Dave Sharma,1,3259,73,207,22,262,19
4,2015,@FamilyStudies,AIFS,1,3254,4,3,2,2,0
