Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
7,2015,@Australia,Australia,1,244506,187,10508,17,18769,179
7,2015,@TourismAus,Tourism Australia,1,78457,114,321,20,350,121
7,2015,@CSIROnews,CSIRO,1,40995,253,1834,48,1350,102
7,2015,@dfat,DFAT,1,39220,206,695,50,570,113
7,2015,@headspace_aus,headspace,1,37892,48,345,11,349,20
7,2015,@ato_gov_au,ato.gov.au,1,36636,486,551,3,319,407
7,2015,@AboutTheHouse,About the House,1,33626,105,235,12,99,13
7,2015,@AusHumanRights,AusHumanRights,1,33486,313,963,202,478,111
7,2015,@nlagovau,National Library Aus,1,29622,141,305,90,219,33
7,2015,@NatGalleryAus,National Gallery ,1,29504,61,142,9,214,21
7,2015,@auscouncilarts,Australia Council,1,27679,37,285,15,119,14
7,2015,@artsculturegov,AusGov Arts&Culture,1,27624,125,100,88,47,29
7,2015,@RBAInfo,RBA,1,27160,8,185,0,51,0
7,2015,@nma,NationalMuseumofAust,1,27034,123,303,30,401,37
7,2015,@healthgovau,Department of Health,1,25821,117,521,0,242,11
7,2015,@BOM_Qld,BOM Queensland,1,24621,55,438,8,301,6
7,2015,@AMSA_News,AMSA News,1,23518,7,40,3,6,2
7,2015,@ABSStats,AU Bureau of Stats,1,22925,34,94,0,39,0
7,2015,@ScreenAustralia,Screen Australia,1,22555,210,552,28,646,164
7,2015,@business_gov_au,business.gov.au,1,22005,140,236,20,265,21
7,2015,@ABSCensus,Census Australia,1,21736,38,380,0,297,7
7,2015,@Ausport,Australian Sport,1,21479,199,352,139,339,75
7,2015,@Mike_Rann,Mike Rann,1,21140,184,82,97,82,44
7,2015,@AuSenate,Australian Senate,1,18884,97,113,15,73,36
7,2015,@nhmrc,NHMRC,1,17227,13,74,2,29,13
7,2015,@AustralianArmy,The Australian Army,1,16874,69,207,36,304,35
7,2015,@Australian_Navy,RoyalAustralianNavy,1,16091,401,1510,222,1437,39
7,2015,@AWMemorial,Aust War Memorial,1,15780,105,252,18,265,23
7,2015,@BOM_au,BOM Australia,1,15685,55,802,0,349,7
7,2015,@MeetinAustralia,Biz Events Australia,1,15540,41,40,23,72,15
7,2015,@AusAmbUSA,Kim Beazley,1,15152,23,42,14,34,5
7,2015,@indigenous_gov,indigenous_gov,1,14520,177,507,73,386,54
7,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,13458,74,276,30,390,3
7,2015,@NPG_Canberra,Portrait Gallery,1,13198,20,12,13,16,11
7,2015,@experiment_arts,Experimental Arts,1,13131,5,2,3,2,3
7,2015,@DeptDefence,DeptDefenceAustralia,1,11763,289,1242,133,1219,105
7,2015,@FutureUnlimited,Study in Australia,1,11599,9,6,4,5,2
7,2015,@ACTPol_Traffic,ACTPol_Traffic,1,11562,77,244,0,49,12
7,2015,@MoneySmartTeam,MoneySmartTeam,1,11257,63,162,3,108,3
7,2015,@fairwork_gov_au,Fair Work Ombudsman,1,11174,70,155,1,70,10
7,2015,@RecogniseAU,RECOGNISE,1,10984,97,564,59,504,38
7,2015,@TroveAustralia,Trove,1,10371,87,365,17,272,21
7,2015,@Eduspokesperson,Eduspokesperson,1,10306,31,44,3,40,5
7,2015,@DubesAustralia,Mr Paul Grigson,1,10172,357,624,124,385,162
7,2015,@ASIC_Connect,ASIC Connect,1,10144,49,64,2,43,12
7,2015,@naagovau,NationalArchivesAus,1,9802,131,221,8,98,98
7,2015,@Austrade,Austrade,1,9781,53,181,3,105,29
7,2015,@AusLawReform,ALRC,1,9714,22,76,8,42,9
7,2015,@DeptAgNews,Dept of Agriculture,1,9581,66,171,8,85,46
7,2015,@ACTPolicing,ACT Policing,1,9492,68,236,14,98,6
7,2015,@BOM_Vic,BOM Victoria,1,9480,68,583,7,432,4
7,2015,@CommsAu,Dept. Communications,1,9348,151,312,45,178,76
7,2015,@ANMMuseum,Nat. Maritime Museum,1,9261,60,85,6,95,30
7,2015,@Scamwatch_gov,Scamwatch_gov_au,1,9105,40,309,5,73,8
7,2015,@ParlLibrary,Parliament Library,1,8909,6,9,0,2,0
