Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
10,2015,@Australia,Australia,1,264204,146,11105,8,19636,155
10,2015,@artsculturegov,AusGov Arts&Culture,1,113920,90,98,49,81,20
10,2015,@TourismAus,Tourism Australia,1,85431,99,340,13,424,127
10,2015,@headspace_aus,headspace,1,47840,131,692,48,638,39
10,2015,@CSIROnews,CSIRO,1,44898,225,1486,35,1222,57
10,2015,@dfat,DFAT,1,42807,252,1558,36,1255,98
10,2015,@BOM_Qld,BOM Queensland,1,39107,92,628,11,322,2
10,2015,@ABSCensus,Census Australia,1,38792,40,193,0,208,4
10,2015,@ato_gov_au,ato.gov.au,1,38522,354,681,6,255,246
10,2015,@AusHumanRights,AusHumanRights,1,36295,279,418,186,239,69
10,2015,@AboutTheHouse,About the House,1,35188,174,261,29,149,34
10,2015,@auscouncilarts,Australia Council,1,31646,78,202,51,128,12
10,2015,@nlagovau,National Library Aus,1,31025,178,190,95,168,99
10,2015,@NatGalleryAus,National Gallery ,1,30829,47,142,3,128,16
10,2015,@healthgovau,Department of Health,1,29205,102,591,4,258,13
10,2015,@RBAInfo,RBA,1,28770,22,238,1,81,0
10,2015,@nma,NationalMuseumofAust,1,27653,117,387,25,395,39
10,2015,@BOM_Vic,BOM Victoria,1,25712,165,1842,10,1189,5
10,2015,@ABSStats,AU Bureau of Stats,1,24237,57,164,6,79,2
10,2015,@BOM_au,BOM Australia,1,24144,100,1125,3,478,31
10,2015,@ScreenAustralia,Screen Australia,1,23943,284,622,59,790,221
10,2015,@business_gov_au,business.gov.au,1,23653,108,231,9,169,10
10,2015,@AMSA_News,AMSA News,1,23481,4,9,0,7,1
10,2015,@Ausport,Australian Sport,1,23153,165,247,115,306,57
10,2015,@Mike_Rann,Mike Rann,1,21433,263,90,193,89,26
10,2015,@AustralianArmy,The Australian Army,1,21298,33,156,11,256,10
10,2015,@AuSenate,Australian Senate,1,20565,206,390,34,199,53
10,2015,@BOM_NSW,BOM New South Wales,1,20210,76,512,13,227,3
10,2015,@Australian_Navy,RoyalAustralianNavy,1,20129,639,2411,319,2705,50
10,2015,@nhmrc,NHMRC,1,19022,10,94,0,44,14
10,2015,@MeetinAustralia,Biz Events Australia,1,18976,33,68,0,70,31
10,2015,@BOM_WA,BOM WA,1,18684,109,410,36,249,14
10,2015,@AWMemorial,Aust War Memorial,1,16882,85,236,16,222,4
10,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,16596,56,246,11,401,6
