Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
5,2015,@Australia,Australia,1,234287,170,10419,8,19474,176
5,2015,@TourismAus,Tourism Australia,1,73996,45,110,15,151,34
5,2015,@CSIROnews,CSIRO,1,38720,272,1514,33,1108,88
5,2015,@dfat,DFAT,1,37303,239,834,63,612,122
5,2015,@headspace_aus,headspace,1,31975,79,808,23,630,41
5,2015,@AusHumanRights,AusHumanRights,1,31434,186,380,148,172,26
5,2015,@ato_gov_au,ato.gov.au,1,28864,193,367,7,171,127
5,2015,@nlagovau,National Library Aus,1,28689,115,429,52,323,77
5,2015,@NatGalleryAus,National Gallery ,1,28454,123,292,23,330,29
5,2015,@auscouncilarts,Australia Council,1,26817,153,231,84,182,41
5,2015,@nma,NationalMuseumofAust,1,26792,71,225,28,244,47
5,2015,@artsculturegov,AusGov Arts&Culture,1,26517,165,133,100,120,60
5,2015,@RBAInfo,RBA,1,26061,19,370,0,86,0
5,2015,@AMSA_News,AMSA News,1,23607,16,33,3,24,4
5,2015,@AboutTheHouse,About the House,1,23560,110,211,11,77,6
5,2015,@healthgovau,Department of Health,1,22832,101,1665,2,1082,8
5,2015,@ABSStats,AU Bureau of Stats,1,22133,35,106,0,43,2
5,2015,@ScreenAustralia,Screen Australia,1,21578,154,354,15,514,134
5,2015,@Mike_Rann,Mike Rann,1,20899,201,101,115,135,45
5,2015,@ABSCensus,Census Australia,1,20672,45,400,0,259,21
5,2015,@Ausport,Australian Sport,1,20235,139,370,83,426,86
5,2015,@business_gov_au,business.gov.au,1,20182,99,334,4,420,12
5,2015,@AuSenate,Australian Senate,1,17623,244,453,33,211,81
5,2015,@nhmrc,NHMRC,1,16275,19,129,0,60,23
5,2015,@AustralianArmy,The Australian Army,1,15770,54,207,31,217,18
5,2015,@AWMemorial,Aust War Memorial,1,15143,103,429,17,375,16
5,2015,@AusAmbUSA,Kim Beazley,1,14928,23,21,16,43,6
5,2015,@BOM_Qld,BOM Queensland,1,14928,46,488,11,335,11
5,2015,@Australian_Navy,RoyalAustralianNavy,1,14902,266,1214,132,1036,18
5,2015,@indigenous_gov,indigenous_gov,1,13909,101,183,25,137,52
5,2015,@experiment_arts,Experimental Arts,1,12883,0,0,0,0,0
5,2015,@NPG_Canberra,Portrait Gallery,1,12771,9,12,3,14,11
5,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,12431,71,251,17,296,1
5,2015,@FutureUnlimited,Study in Australia,1,11280,8,8,3,8,1
5,2015,@ACTPol_Traffic,ACTPol_Traffic,1,11208,74,162,0,30,9
5,2015,@DeptDefence,DeptDefenceAustralia,1,10596,83,263,30,234,25
5,2015,@RecogniseAU,RECOGNISE,1,10211,280,838,146,701,188
5,2015,@MoneySmartTeam,MoneySmartTeam,1,10211,40,139,10,55,0
5,2015,@fairwork_gov_au,Fair Work Ombudsman,1,10179,77,166,1,94,17
5,2015,@Eduspokesperson,Eduspokesperson,1,9936,18,59,0,27,3
5,2015,@TroveAustralia,Trove,1,9840,73,335,9,249,19
5,2015,@DubesAustralia,David Engel ,1,9696,44,42,10,36,29
5,2015,@ASIC_Connect,ASIC Connect,1,9508,36,16,8,17,14
5,2015,@AusLawReform,ALRC,1,9488,22,44,6,22,2
5,2015,@naagovau,NationalArchivesAus,1,9263,59,65,12,53,48
5,2015,@Austrade,Austrade,1,9253,65,208,19,143,23
5,2015,@ANMMuseum,Nat. Maritime Museum,1,9032,84,250,15,220,67
5,2015,@DeptAgNews,Dept of Agriculture,1,8959,44,130,8,67,41
5,2015,@CommsAu,Dept. Communications,1,8882,153,370,31,166,78
5,2015,@ParlLibrary,Parliament Library,1,8846,82,164,0,50,0
5,2015,@SCAMwatch_gov,SCAMwatch_gov_au,1,8608,61,668,16,213,1
5,2015,@AusElectoralCom,AEC,1,8541,22,133,4,22,9
5,2015,@ACTPolicing,ACT Policing,1,8475,63,386,4,150,11
5,2015,@ArtStartGrants,ArtStartGrants,0,8373,7,10,0,6,6
5,2015,@DIBPAustralia,DIBP Australia,1,8269,85,13,0,21,79
5,2015,@Theatre_OzCo,Theatre,1,8265,0,0,0,0,0
5,2015,@G20Australia,Australia G20,1,7903,0,0,0,0,0
5,2015,@acmadotgov,The ACMA,1,7903,56,100,17,40,11
5,2015,@BOM_au,BOM Australia,1,7854,46,1321,0,399,2
5,2015,@CreativePships,CreativePartnerships,1,7592,66,43,17,56,29
5,2015,@BOM_Vic,BOM Victoria,1,7497,72,462,10,245,8
5,2015,@australiascreen,australianscreen,1,7246,28,23,5,35,3
5,2015,@BOM_NSW,BOM New South Wales,1,7198,84,390,14,196,6
5,2015,@asicmedia,ASIC Media,1,6968,106,203,1,70,13
5,2015,@ABARES,ABARES,1,6676,9,30,1,15,1
5,2015,@OzDay,Australia Day,1,6608,6,16,3,22,3
5,2015,@aihw,AIHW,0,6551,8,31,0,4,7
5,2015,@SpaceAustralia,Australian Space,1,6521,0,0,0,0,0
5,2015,@AustraliaUN,Gillian Bird,1,6510,25,20,17,22,12
5,2015,@CanberraDSN,CanberraDSN,1,6084,104,144,4,193,70
5,2015,@AFPmedia,AFP National Media,1,5814,9,121,2,43,5
5,2015,@Aus_ScienceWeek,NationalScienceWeek,0,5755,199,204,124,128,71
5,2015,@MeetinAustralia,Biz Events Australia,1,5662,102,201,40,352,56
5,2015,@AusHCPak,Jurek Juszczyk,0,5555,15,79,8,163,6
5,2015,@acccgovau,ACCC,1,5311,34,150,3,88,3
5,2015,@CASABriefing,CASA,1,5114,36,43,1,32,6
5,2015,@AusCustomsNews,Australian Customs,1,5091,39,44,1,48,37
5,2015,@ItStopsWithMe,Racism.ItStopsWithMe,1,5056,42,58,26,49,4
5,2015,@ACCCProdSafety,ACCC Product Safety,1,5028,64,236,3,23,2
5,2015,@eHealthAus,NEHTA eHealth,1,4895,70,100,6,60,30
5,2015,@AirservicesNews,AirservicesAustralia,1,4840,41,114,8,57,19
5,2015,@MoAD_Canberra,MuseumofAusDemocracy,1,4679,111,358,21,287,74
5,2015,@CybersmartACMA,Cybersmart,0,4630,30,37,11,15,5
5,2015,@arc_gov_au,ARC,1,4619,15,24,4,10,8
5,2015,@FSANZnews,FoodStandardsAusNZ,1,4576,35,81,0,25,6
5,2015,@CPOACT,CPOACT,1,4466,6,27,0,18,5
5,2015,@NFSAonline,NFSAonline,1,4461,118,131,20,104,60
5,2015,@BOM_WA,BOM WA,1,4082,88,288,34,159,12
5,2015,@HealthInfoNet,HealthInfoNet,1,4016,249,151,176,67,50
5,2015,@atsbinfo,ATSB,1,3993,27,192,1,76,3
5,2015,@AusAntarctic,Antarctic Division,1,3957,47,78,13,65,16
5,2015,@HumanServicesAU,Human Services,1,3920,115,24,1,15,91
5,2015,@Centrelink,Centrelink,1,3867,220,3,2,20,214
5,2015,@DonateLifeToday,Donate Life Today,1,3833,20,29,3,27,7
5,2015,@Treasury_AU,Australian Treasury,1,3753,38,779,0,261,1
5,2015,@PSInnovate,APS Innovation,1,3751,22,21,9,12,8
5,2015,@AusUnlimited,Australia Unlimited,1,3739,37,35,8,41,29
5,2015,@BOM_SA,BOM South Australia,1,3709,42,172,10,85,0
5,2015,@ACNC_gov_au,ACNC,1,3695,71,214,14,191,23
5,2015,@ausoftheyear,AusoftheYearAwards,1,3658,34,35,24,38,23
5,2015,@anti_doping,ASADA Anti-Doping,1,3609,1,2,0,1,0
5,2015,@AICriminology,AIC,1,3553,40,148,7,19,7
5,2015,@IDPwD,IDPwD,1,3512,9,12,4,10,0
5,2015,@AusHouseLondon,Aus. High Commission,1,3508,58,110,27,99,24
5,2015,@AusAmbJP,Bruce Miller,1,3505,134,254,32,238,53
5,2015,@Aus_Industry,AusIndustry,1,3473,0,0,0,0,0
5,2015,@FamilyStudies,AIFS,1,3308,10,11,6,3,0
5,2015,@PosolAustralia,Paul Myler,1,3236,199,48,130,51,69
5,2015,@NCVER,NCVER,1,3171,90,56,6,43,36
5,2015,@AustraliaUN_GVA,Australia UN Geneva,1,3096,37,36,22,12,1
5,2015,@AUS_Hansard,Australian Hansard,1,3060,71,20,0,6,0
5,2015,@AusAmbIsrael,Dave Sharma,1,2897,67,109,15,136,32
5,2015,@envirogov,environment.gov.au,1,2890,11,34,5,15,4
5,2015,@MD_Basin_Auth,MD Basin Authority,1,2819,97,95,20,61,33
5,2015,@ACIARAustralia,ACIAR,1,2785,71,33,52,10,15
5,2015,@AusTrainAwards,Aus Training Awards,1,2778,38,47,8,28,13
5,2015,@HWAGovAu,HWAGovAU,1,2733,0,0,0,0,0
5,2015,@questacon,Questacon,1,2587,16,3,11,6,3
5,2015,@DVAAus,DVA Australia,1,2556,46,60,14,76,9
5,2015,@OAICgov,OAIC,1,2536,166,169,39,152,90
5,2015,@ACECQA,ACECQA,1,2482,18,21,2,8,4
5,2015,@WGEAgency,WGEA,1,2411,107,182,27,108,76
5,2015,@nca_media,NCA,1,2241,25,19,5,16,7
5,2015,@GeoscienceAus,Geoscience Australia,0,2215,17,59,1,27,10
5,2015,@LibrariesAust,Libraries Australia,1,2181,19,10,0,9,0
5,2015,@nywAU,National Youth Week,1,2180,0,0,0,0,0
5,2015,@APRAinfo,APRA,1,2139,13,14,0,6,0
5,2015,@exportawards,Export Awards,1,2118,44,20,12,15,41
5,2015,@StudentUpdateAU,Student Update,1,2093,31,2,0,1,30
5,2015,@HankJongen,Hank Jongen,1,2088,14,0,2,1,14
5,2015,@AusHCPNG,Deborah Stokes,1,2063,51,41,38,24,13
5,2015,@EduSecretaryAU,Lisa Paul,1,2031,1,1,0,1,0
5,2015,@ACSQHC,ACSQHC,0,1993,97,330,15,173,23
5,2015,@BOM_NT,BOM NT,1,1943,67,117,11,97,13
5,2015,@Parks_Australia,ParksAustralia,1,1934,50,14,24,39,22
5,2015,@AusAmbPH,Bill Tweddell,1,1912,39,98,4,130,33
5,2015,@ozprodcom,Productivity Comm,1,1889,10,10,0,6,0
5,2015,@FamilyCourtAU,Family Court of Aust,1,1884,20,56,0,18,1
5,2015,@AusAmbUAE,Pablo Kang,1,1882,42,96,11,97,46
5,2015,@ANSTO,ANSTO,0,1863,51,25,32,11,17
5,2015,@AusHCIndia,Patrick Suckling,1,1858,32,49,15,24,9
5,2015,@AEMKH,EM Knowledge Hub,1,1856,5,13,0,5,1
5,2015,@AusWIGB,Women in Global Biz,1,1802,25,17,3,29,22
5,2015,@BOM_ACT,BOM ACT,1,1779,57,297,15,89,3
5,2015,@AustradeUK,Austrade UK,1,1709,87,30,29,22,29
5,2015,@DefenceHousing,"Defence Housing
",1,1700,20,15,6,11,3
5,2015,@gbrmarinepark,GBRMPA,1,1685,175,152,81,118,62
5,2015,@EmbAustraliaBA,Noel Campbell,1,1680,36,75,5,73,16
5,2015,@AusGovFinance,Dept of Finance,1,1661,2,2,0,0,0
5,2015,@ANAO_Australia,Audit Office (ANAO),1,1590,32,24,9,4,9
5,2015,@AusGovCTO,John Sheridan,1,1510,0,0,0,0,0
5,2015,@PBO_AU,Australian PBO,1,1466,3,28,0,4,0
5,2015,@BOM_Tas,BOM Tasmania,1,1462,82,333,10,126,5
5,2015,@AustradeJakarta,Austrade Indonesia,1,1414,1,1,0,0,0
5,2015,@FamilyUpdateAU,Family Update,1,1386,30,0,2,5,21
5,2015,@AusHCMalaysia,Rod Smith,1,1370,55,50,38,25,9
5,2015,@myGovau,myGov,1,1341,90,7,0,11,83
5,2015,@AusHCCanada,Tony Negus,1,1299,116,62,84,77,55
5,2015,@ANBG,ANBG,1,1277,12,6,4,5,0
5,2015,@AusAmbTurkey,James Larsen,1,1269,91,45,16,81,44
5,2015,@RoyalAustMint,RoyalAustralianMint,1,1220,40,33,5,42,31
5,2015,@ANZSOG,ANZSOG,1,1184,17,0,8,1,0
5,2015,@relayservice,relayservice,0,1170,21,13,0,17,12
5,2015,@CFCAexchange,CFCA info exchange,1,1157,84,41,41,16,10
5,2015,@aims_gov_au,AIMS,1,1144,42,123,8,47,3
5,2015,@naa_digital,naadigital,0,1140,47,24,11,14,2
5,2015,@CSIROhelix,CSIROHelix,1,1102,1,0,0,0,2
5,2015,@datagovau,data.gov.au,1,1030,2,2,1,3,0
5,2015,@AuHCSouthAfrica,Aust High Comm SA,1,1005,50,32,21,24,14
5,2015,@comcare_gov_au,Comcare,1,987,5,6,1,0,0
5,2015,@NHPAreporting,NHPA,1,978,124,87,32,51,32
5,2015,@mindhealthc,mindhealthconnect,1,966,13,8,5,2,2
5,2015,@AIFS_SVR,AIFS_SVR,1,958,228,149,103,80,64
5,2015,@AGSgovLawyers,AGSgovernmentLawyers,1,947,8,6,0,1,0
5,2015,@AusHCNZ,Australia in NZ,1,945,8,4,1,3,4
5,2015,@AusEmbZim,Suzanne McCourt,1,944,22,31,8,18,18
5,2015,@theCEWH,Environmental Water,1,933,66,21,60,24,6
5,2015,@tra_online,Tourism Research ,1,930,8,13,1,5,1
5,2015,@AusAmbPL,Jean Dunn,1,882,1,0,1,0,0
5,2015,@PULSEatParkes,PULSE@Parkes,1,843,29,11,2,23,9
5,2015,@CSIROevents,CSIROevents,0,830,19,19,0,12,2
5,2015,@OZinSG,Philip Green,1,829,0,0,0,0,0
5,2015,@EmbAusBrasil,Patrick Lawless,1,812,11,3,1,8,1
5,2015,@CSIRO_ATNF,CSIRO_ATNF,1,804,59,8,53,8,6
5,2015,@CSIROSMiS,CSIRO SMiS,1,765,27,17,13,19,16
5,2015,@AusDTO,AusDTO,0,722,29,25,20,10,8
5,2015,@G20SR,Daniel Sloper,1,693,0,0,0,0,0
5,2015,@NLAjakarta,NLA Jakarta Office,1,649,61,51,47,13,23
5,2015,@APSCnews,APSC News,1,642,14,3,5,1,3
5,2015,@AusDCMUSA,Caroline Millar,1,635,9,0,7,3,1
5,2015,@ConstableKenny,Constable Kenny,0,627,15,23,3,16,4
5,2015,@TPB_gov_au,TPB.gov.au,0,625,35,28,7,21,2
5,2015,@SenateRecruit,SenateRecruit,1,621,27,12,6,4,0
5,2015,@AGDCopyright,AGD Copyright,1,586,0,0,0,0,0
5,2015,@AusAmbDK,Damien Miller,0,488,64,46,26,72,61
5,2015,@AusAmbBKK,Paul Robilliard,1,462,23,14,5,20,6
5,2015,@NLAPandora,PANDORA web archive,1,460,9,14,1,4,3
5,2015,@AusEmbIre,Australia in Ireland,1,444,21,2,18,4,1
5,2015,@LearnEmpServ,ES Learning Centre,1,408,0,0,0,0,0
5,2015,@AusEmbAfg,Aus in Afghanistan,1,398,5,20,0,16,1
5,2015,@AusEmbEU,Mark Higgie,1,368,38,26,13,39,10
5,2015,@OBPRGov,OBPR,1,321,2,0,0,0,1
5,2015,@AIFS_LSAC,AIFS_LSAC,1,312,0,0,0,0,0
5,2015,@AusTrackRecord,AusTrackRecord,1,307,0,0,0,0,0
5,2015,@AusHCCyprus,Australia In Cyprus,1,299,12,4,1,6,2
5,2015,@AusEmbPP,AustraliaInCambodia,1,291,20,9,10,11,3
5,2015,@IHPAnews,IHPAnews,1,243,39,18,0,13,19
5,2015,@AusOfficeTPE,Cathy Raper,1,196,23,14,4,13,10
5,2015,@Kasparbot,Kasparov Robot,1,191,63,0,3,2,0
5,2015,@AusAmbGHA,Joanna Adamson,1,173,4,1,0,3,1
5,2015,@AusGovCMS,AusGovCMS,0,166,1,7,0,4,0
5,2015,@AusAmbVIE,David Stuart,1,160,27,67,4,95,35
5,2015,@sosrExchange,State of the Service,0,160,4,11,0,2,0
5,2015,@AusAmbDili,Peter Doyle,1,140,12,13,2,2,1
5,2015,@Gov_Share,GovShare,1,135,0,0,0,0,0
5,2015,@GeoAusLibrary,GeoscienceAusLibrary,0,46,19,2,13,2,2
