Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
"10","2014","@Australia","Australia","1","170979","166","8723","3","12926","202"
"10","2014","@TourismAus","Tourism Australia","1","56402","63","227","2","174","65"
"10","2014","@dfat","DFAT","1","31888","244","902","40","423","206"
"10","2014","@CSIROnews","CSIRO","1","31733","207","1181","4","601","79"
"10","2014","@headspace_aus","headspace","1","26806","129","1497","28","826","47"
"10","2014","@AMSA_News","AMSA News","1","24130","12","25","3","7","5"
"10","2014","@AusHumanRights","AusHumanRights","1","23843","232","295","177","138","47"
"10","2014","@nlagovau","National Library Aus","1","23721","287","525","125","324","129"
"10","2014","@auscouncilarts","Australia Council","1","23382","43","178","17","93","18"
"10","2014","@artsculturegov","AusGov Arts&Culture","1","22758","138","82","124","21","12"
"10","2014","@RBAInfo","RBA","1","21673","21","174","0","43","0"
"10","2014","@ato_gov_au","ato.gov.au","1","20725","209","558","4","178","101"
"10","2014","@Mike_Rann","Mike Rann","1","20175","160","213","56","134","9"
"10","2014","@AboutTheHouse","About the House","1","19749","91","155","0","55","21"
"10","2014","@ABSStats","AU Bureau of Stats","1","19541","41","178","0","64","2"
"10","2014","@NatGalleryAus","National Gallery ","1","19522","92","429","24","327","22"
"10","2014","@healthgovau","Department of Health","1","18737","49","200","0","89","6"
"10","2014","@ABSCensus","Census Australia","1","18268","50","259","0","158","7"
"10","2014","@ScreenAustralia","Screen Australia","1","18185","43","93","16","69","16"
"10","2014","@business_gov_au","business.gov.au","1","15910","76","205","2","93","11"
"10","2014","@Ausport","Australian Sport","1","15772","163","357","96","299","101"
"10","2014","@AuSenate","Australian Senate","1","14771","200","735","13","220","64"
"10","2014","@AusAmbUSA","Kim Beazley","1","13492","109","107","67","103","33"
"10","2014","@nhmrc","NHMRC","1","13397","11","132","0","33","9"
"10","2014","@AustralianArmy","The Australian Army","1","13147","19","71","4","67","6"
"10","2014","@Australian_Navy","RoyalAustralianNavy","1","12184","124","968","28","832","6"
"10","2014","@indigenous_gov","Closing the Gap","1","11526","67","102","13","59","31"
"10","2014","@experiment_arts","Experimental Arts","1","11441","37","42","15","54","23"
"10","2014","@AWMemorial","Aust War Memorial","1","10561","69","166","34","114","19"
"10","2014","@FutureUnlimited","Study in Australia","1","10260","25","24","4","12","18"
"10","2014","@ACTPol_Traffic","ACTPol_Traffic","1","10028","74","92","0","11","7"
"10","2014","@Aus_AirForce","RAAF - Aus_AirForce","1","9947","78","222","29","216","14"
"10","2014","@Eduspokesperson","Eduspokesperson","1","8876","26","65","15","12","0"
"10","2014","@AusLawReform","ALRC","1","8576","39","157","9","38","28"
"10","2014","@ParlLibrary","Parliament Library","1","8400","35","83","0","21","0"
"10","2014","@RecogniseAU","RECOGNISE","1","8031","123","230","74","155","91"
"10","2014","@ANMMuseum","Nat. Maritime Museum","1","7898","63","103","10","80","45"
"10","2014","@TroveAustralia","Trove","1","7844","96","354","26","147","10"
"10","2014","@AusElectoralCom","AEC","1","7838","17","15","4","7","16"
"10","2014","@NPG_Canberra","Portrait Gallery","1","7818","15","25","7","17","8"
"10","2014","@DeptDefence","Dept of Defence","1","7793","132","602","28","333","60"
"10","2014","@DubesAustralia","Greg Moriarty","1","7790","220","377","23","202","217"
"10","2014","@Austrade","Austrade","1","7715","56","197","14","84","39"
"10","2014","@CommsAu","Dept. Communications","1","7697","132","244","22","82","67"
"10","2014","@ArtStartGrants","ArtStartGrants","0","7630","28","21","16","14","17"
"10","2014","@ASIC_Connect","ASIC Connect","1","7569","47","59","10","15","21"
"10","2014","@SCAMwatch_gov","SCAMwatch_gov_au","1","7535","28","214","4","29","2"
"10","2014","@nma","NationalMuseumofAust","1","7382","57","158","7","123","35"
"10","2014","@Theatre_OzCo","Theatre","1","7358","8","5","6","2","4"
"10","2014","@DeptAgNews","Dept of Agriculture","1","7035","43","116","3","26","37"
"10","2014","@acmadotgov","The ACMA","1","6986","72","115","18","43","17"
"10","2014","@CreativePships","CreativePartnerships","1","6856","107","59","39","62","47"
"10","2014","@DIBPAustralia","DIBP Australia","1","6571","84","63","7","29","59"
"10","2014","@naagovau","NationalArchivesAus","1","6439","52","74","14","56","20"
"10","2014","@fairwork_gov_au","Fair Work Ombudsman","1","6377","90","183","1","103","26"
"10","2014","@australiascreen","australianscreen","1","6368","59","96","15","55","19"
"10","2014","@ACTPolicing","ACT Policing","1","6092","103","335","22","120","23"
"10","2014","@SpaceAustralia","Australian Space","1","5976","1","4","0","5","0"
"10","2014","@ABARES","ABARES","1","5857","13","26","6","7","6"
"10","2014","@MoneySmartTeam","MoneySmartTeam","1","5653","71","132","8","64","5"
"10","2014","@AustraliaUN","Gary Quinlan","1","5494","86","344","17","182","24"
"10","2014","@aihw","AIHW","0","5464","12","41","0","10","3"
"10","2014","@CanberraDSN","CanberraDSN","1","4781","36","156","5","191","42"
"10","2014","@G20Australia","Australia G20","1","4679","25","119","5","74","35"
"10","2014","@Aus_ScienceWeek","NationalScienceWeek","0","4573","405","150","306","135","121"
"10","2014","@ACCCProdSafety","ACCC Product Safety","1","4489","63","136","7","9","8"
"10","2014","@asicmedia","ASIC Media","1","4420","39","140","1","36","7"
"10","2014","@CPOACT","CPOACT","1","4356","6","15","0","23","2"
"10","2014","@MeetinAustralia","Biz Events Australia","1","4152","92","43","28","79","53"
"10","2014","@CASABriefing","CASA","1","4131","73","171","2","91","7"
"10","2014","@FSANZnews","FoodStandardsAusNZ","1","4085","42","81","6","22","4"
"10","2014","@eHealthAus","NEHTA eHealth","1","4052","86","70","16","43","39"
"10","2014","@NFSAonline","NFSAonline","1","3950","152","181","22","120","92"
"10","2014","@CybersmartACMA","Cybersmart","0","3936","33","53","14","18","9"
"10","2014","@AirservicesNews","AirservicesAustralia","1","3921","35","137","10","85","8"
"10","2014","@ItStopsWithMe","Racism.ItStopsWithMe","1","3904","45","83","20","49","17"
"10","2014","@AusCustomsNews","Australian Customs","1","3871","51","73","7","19","25"
"10","2014","@acccgovau","ACCC","1","3710","52","118","0","53","8"
"10","2014","@MoAD_Canberra","MuseumofAusDemocracy","1","3614","86","215","22","159","47"
"10","2014","@arc_gov_au","ARC","1","3483","21","68","7","21","4"
"10","2014","@HealthInfoNet","HealthInfoNet","1","3427","103","45","81","13","8"
"10","2014","@DonateLifeToday","Donate Life Today","1","3417","7","20","5","12","0"
"10","2014","@PSInnovate","APS Innovation","1","3372","2","1","0","1","1"
"10","2014","@anti_doping","ASADA Anti-Doping","1","3342","2","25","0","7","0"
"10","2014","@atsbinfo","ATSB","1","3311","27","101","3","46","1"
"10","2014","@Aus_Industry","AusIndustry","1","3303","0","0","0","0","0"
"10","2014","@AusAntarctic","Antarctic Division","1","3240","29","64","2","51","0"
"10","2014","@AICriminology","AIC","1","3118","11","25","1","6","1"
"10","2014","@Centrelink","Centrelink","1","3053","205","9","11","27","197"
"10","2014","@AusUnlimited","Australia Unlimited","1","3034","50","50","7","39","53"
"10","2014","@AusHouseLondon","Aus. High Commission","1","3019","21","28","9","15","12"
"10","2014","@FamilyStudies","AIFS","1","2952","30","5","24","0","2"
"10","2014","@AusAmbIsrael","Dave Sharma","1","2938","79","183","18","148","17"
"10","2014","@ACNC_gov_au","ACNC","1","2921","71","152","26","61","12"
"10","2014","@AUS_Hansard","Australian Hansard","1","2902","65","16","0","11","0"
"10","2014","@HumanServicesAU","Human Services","1","2881","91","25","4","12","61"
"10","2014","@AusAmbJP","Bruce Miller","1","2876","675","439","254","215","216"
"10","2014","@IDPwD","IDPwD","1","2826","44","49","19","25","10"
"10","2014","@HWAGovAu","HWAGovAU","1","2788","0","0","0","0","0"
"10","2014","@NCVER","NCVER","1","2694","81","84","9","43","24"
"10","2014","@PosolAustralia","Paul Myler","1","2544","427","58","341","68","81"
"10","2014","@AustraliaUN_GVA","Australia UN Geneva","1","2530","18","27","5","27","8"
"10","2014","@MD_Basin_Auth","MD Basin Authority","1","2402","28","12","17","1","1"
"10","2014","@ACIARAustralia","ACIAR","1","2366","27","30","13","8","20"
"10","2014","@envirogov","environment.gov.au","1","2262","7","6","2","2","0"
"10","2014","@AFPmedia","AFP National Media","1","2251","19","65","3","18","6"
"10","2014","@OzDay","Australia Day","1","2232","8","1","5","1","3"
"10","2014","@questacon","Questacon","1","2227","37","15","10","52","18"
"10","2014","@OAICgov","OAIC","1","2211","66","68","14","15","34"
"10","2014","@DVAAus","DVA, Australia","1","2185","57","30","35","23","7"
"10","2014","@AusTrainAwards","Aus Training Awards","1","2149","67","40","40","16","28"
"10","2014","@ACECQA","ACECQA","1","2134","26","58","4","29","5"
"10","2014","@Treasury_AU","Australian Treasury","1","2128","7","30","0","0","0"
"10","2014","@nca_media","NCA","1","1912","46","53","18","34","9"
"10","2014","@HankJongen","Hank Jongen","1","1883","26","9","4","6","27"
"10","2014","@EduSecretaryAU","Lisa Paul","1","1787","10","41","0","12","1"
"10","2014","@exportawards","Export Awards","1","1736","64","33","20","38","29"
"10","2014","@WGEAgency","WGEA","1","1728","163","115","66","53","60"
"10","2014","@StudentUpdateAU","Student Update","1","1714","36","14","4","4","15"
"10","2014","@AusHCPNG","Deborah Stokes","1","1679","47","35","41","16","1"
"10","2014","@APRAinfo","APRA","1","1674","8","14","0","2","0"
"10","2014","@LibrariesAust","Libraries Australia","1","1666","72","57","17","44","21"
"10","2014","@nywAU","National Youth Week","1","1664","9","29","0","9","4"
"10","2014","@ausoftheyear","AusoftheYearAwards","1","1609","99","422","39","380","82"
"10","2014","@AEMKH","EM Knowledge Hub","1","1570","91","104","17","59","45"
"10","2014","@DefenceHousing","Defence Housing
","1","1541","28","9","4","10","10"
"10","2014","@AusWIGB","Women in Global Biz","1","1518","37","75","4","29","37"
"10","2014","@ANSTO","ANSTO","0","1501","323","146","31","56","60"
"10","2014","@AusAmbPH","Bill Tweddell","1","1497","56","61","11","65","41"
"10","2014","@Parks_Australia","ParksAustralia","1","1477","37","3","18","3","15"
"10","2014","@EmbAustraliaBA","Patricia Holmes","1","1443","53","39","22","51","31"
"10","2014","@ozprodcom","Productivity Comm","1","1423","4","4","0","1","0"
"10","2014","@FamilyCourtAU","Family Court of Aust","1","1375","54","87","8","26","9"
"10","2014","@PBO_AU","Australian PBO","1","1341","0","0","0","0","0"
"10","2014","@ANAO_Australia","Audit Office (ANAO)","1","1310","12","13","1","2","8"
"10","2014","@ACSQHC","ACSQHC","0","1310","74","136","6","44","10"
"10","2014","@AustradeUK","Austrade UK","1","1283","111","38","18","28","51"
"10","2014","@AusAmbUAE","Pablo Kang","1","1253","84","118","29","91","140"
"10","2014","@AusGovCTO","John Sheridan","1","1158","2","15","0","3","0"
"10","2014","@AusHCIndia","Patrick Suckling","1","1148","40","58","18","27","15"
"10","2014","@AusGovFinance","Dept of Finance","1","1136","3","0","2","0","1"
"10","2014","@gbrmarinepark","GBRMPA","1","1134","77","48","48","28","6"
"10","2014","@AusHCPak","Peter Heyward","0","1106","14","24","6","35","5"
"10","2014","@AustradeJakarta","Austrade Indonesia","1","1074","34","25","8","8","15"
"10","2014","@ANBG","ANBG","1","1057","25","12","11","16","5"
"10","2014","@FamilyUpdateAU","Family Update","1","1053","14","7","1","0","6"
"10","2014","@AusHCCanada","Louise Hand","1","1030","187","50","142","42","64"
"10","2014","@CFCAexchange","CFCA info exchange","1","1007","82","60","5","21","12"
"10","2014","@CSIROhelix","CSIROhelix","1","986","14","15","0","1","1"
"10","2014","@ANZSOG","ANZSOG","1","983","37","7","26","4","5"
"10","2014","@naa_digital","naadigital","0","972","22","6","1","7","1"
"10","2014","@RoyalAustMint","RoyalAustralianMint","1","894","33","29","6","63","25"
"10","2014","@comcare_gov_au","Comcare","1","861","22","25","0","13","0"
"10","2014","@AIFS_ACSSA","AIFS_ACSSA","1","816","131","73","83","29","27"
"10","2014","@AusAmbPL","Jean Dunn","1","790","1","0","1","0","0"
"10","2014","@AuHCSouthAfrica","Aust High Comm SA","1","779","23","7","11","3","3"
"10","2014","@AGSgovLawyers","AGSgovernmentLawyers","1","775","6","2","0","0","0"
"10","2014","@OZinSG","Philip Green","1","758","8","6","0","4","0"
"10","2014","@CSIROevents","CSIROevents","0","740","2","0","0","0","0"
"10","2014","@AusHCNZ","Australia in NZ","1","736","5","29","2","18","1"
"10","2014","@aims_gov_au","AIMS","1","727","14","34","3","13","2"
"10","2014","@PULSEatParkes","PULSE@Parkes","1","726","23","22","1","10","2"
"10","2014","@EmbAusBrasil","Patrick Lawless","1","716","19","0","2","0","5"
"10","2014","@NHPAreporting","NHPA","1","703","27","22","5","4","7"
"10","2014","@mindhealthc","mindhealthconnect","1","670","11","15","2","11","4"
"10","2014","@datagovau","data.gov.au","1","652","0","0","0","0","0"
"10","2014","@G20SR","Daniel Sloper","1","649","22","46","8","19","5"
"10","2014","@CSIRO_ATNF","CSIRO_ATNF","1","603","19","12","9","8","3"
"10","2014","@AusEmbZim","Matthew Neuhaus","1","600","18","43","7","23","5"
"10","2014","@CSIROSMiS","CSIRO SMiS","1","584","24","6","7","11","22"
"10","2014","@theCEWH","Environmental Water","1","549","30","5","23","7","8"
"10","2014","@APSCgradnews","APSC Graduate News","1","543","1","0","0","0","0"
"10","2014","@ConstableKenny","Constable Kenny","0","535","18","41","2","23","9"
"10","2014","@tra_online","Tourism Research ","1","532","7","11","0","0","1"
"10","2014","@SenateRecruit","SenateRecruit","1","527","15","15","0","1","0"
"10","2014","@AGDCopyright","AGD Copyright","1","486","0","0","0","0","0"
"10","2014","@AusAmbTurkey","James Larsen","1","480","150","53","58","58","99"
"10","2014","@AusHCMalaysia","Rod Smith","1","475","33","7","22","10","4"
"10","2014","@TPB_gov_au","TPB.gov.au","0","423","24","20","2","5","5"
"10","2014","@AusDCMUSA","Caroline Millar","1","405","52","10","38","1","19"
"10","2014","@LearnEmpServ","ES Learning Centre","1","353","3","0","0","0","0"
"10","2014","@NLAjakarta","NLA Jakarta Office","1","349","69","22","54","6","16"
"10","2014","@OBPRGov","OBPR","1","306","11","2","0","1","2"
"10","2014","@AIFS_LSAC","AIFS_LSAC","1","299","0","0","0","0","0"
"10","2014","@AusAmbDK","Damien Miller","0","295","0","0","0","0","0"
"10","2014","@AusTrackRecord","AusTrackRecord","1","282","0","0","0","0","0"
