Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
1,2015,@Australia,Australia,1,196078,189,10848,12,18465,220
1,2015,@TourismAus,Tourism Australia,1,63474,154,562,6,540,214
1,2015,@CSIROnews,CSIRO,1,34575,155,809,9,488,69
1,2015,@dfat,DFAT,1,34240,119,558,23,301,77
1,2015,@headspace_aus,headspace,1,28176,54,228,20,161,25
1,2015,@AusHumanRights,AusHumanRights,1,26067,46,201,27,97,14
1,2015,@nlagovau,National Library Aus,1,25594,269,852,93,596,154
1,2015,@auscouncilarts,Australia Council,1,24680,44,220,16,134,25
1,2015,@artsculturegov,AusGov Arts&Culture,1,24061,152,77,133,60,14
1,2015,@AMSA_News,AMSA News,1,23825,3,0,1,0,0
1,2015,@RBAInfo,RBA,1,22953,4,94,0,28,0
1,2015,@NatGalleryAus,National Gallery ,1,22175,56,82,21,119,15
1,2015,@ato_gov_au,ato.gov.au,1,22025,114,222,3,58,88
1,2015,@Mike_Rann,Mike Rann,1,20791,92,94,26,142,14
1,2015,@ABSStats,AU Bureau of Stats,1,20316,25,54,0,17,0
1,2015,@healthgovau,Department of Health,1,20202,69,412,2,182,16
1,2015,@AboutTheHouse,About the House,1,20106,68,162,2,66,11
1,2015,@ScreenAustralia,Screen Australia,1,19566,93,90,64,71,31
1,2015,@ABSCensus,Census Australia,1,19099,52,714,0,420,12
1,2015,@Ausport,Australian Sport,1,17640,156,380,66,395,183
1,2015,@business_gov_au,business.gov.au,1,17377,72,168,2,99,9
1,2015,@AuSenate,Australian Senate,1,15695,25,24,5,23,17
1,2015,@nhmrc,NHMRC,1,14501,8,51,0,16,8
1,2015,@AusAmbUSA,Kim Beazley,1,14272,113,242,84,324,27
1,2015,@AustralianArmy,The Australian Army,1,14080,1,1,0,3,1
1,2015,@Australian_Navy,RoyalAustralianNavy,1,13219,123,519,61,521,3
1,2015,@nma,NationalMuseumofAust,1,12471,104,308,23,351,71
1,2015,@indigenous_gov,Closing the Gap,1,12361,24,98,3,51,9
1,2015,@experiment_arts,Experimental Arts,1,12086,4,26,1,30,6
1,2015,@AWMemorial,Aust War Memorial,1,11977,74,280,4,207,4
1,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,10841,54,205,11,184,1
1,2015,@FutureUnlimited,Study in Australia,1,10694,8,3,7,2,0
1,2015,@ACTPol_Traffic,ACTPol_Traffic,1,10589,69,147,2,38,9
1,2015,@fairwork_gov_au,Fair Work Ombudsman,1,9574,96,219,3,92,30
1,2015,@Eduspokesperson,Eduspokesperson,1,9290,17,17,12,8,0
1,2015,@NPG_Canberra,Portrait Gallery,1,8989,30,9,20,20,6
1,2015,@RecogniseAU,RECOGNISE,1,8980,33,125,21,66,19
1,2015,@AusLawReform,ALRC,1,8942,26,121,7,37,11
1,2015,@DeptDefence,Dept of Defence,1,8857,80,417,21,318,36
1,2015,@DubesAustralia,Dr David Engel,1,8665,56,138,5,73,56
1,2015,@ParlLibrary,Parliament Library,1,8572,9,24,0,18,0
1,2015,@TroveAustralia,Trove,1,8564,61,184,6,141,24
1,2015,@ANMMuseum,Nat. Maritime Museum,1,8346,58,61,11,64,46
1,2015,@Austrade,Austrade,1,8309,77,327,24,148,44
1,2015,@ASIC_Connect,ASIC Connect,1,8240,49,19,1,8,37
1,2015,@AusElectoralCom,AEC,1,8174,20,390,2,76,16
1,2015,@CommsAu,Dept. Communications,1,8065,93,211,27,84,34
1,2015,@G20Australia,Australia G20,1,8025,0,0,0,0,0
1,2015,@ArtStartGrants,ArtStartGrants,0,7921,12,9,8,6,3
1,2015,@SCAMwatch_gov,SCAMwatch_gov_au,1,7855,26,195,9,44,0
1,2015,@DeptAgNews,Dept of Agriculture,1,7806,16,42,2,16,15
1,2015,@Theatre_OzCo,Theatre,1,7704,3,2,1,8,2
1,2015,@naagovau,NationalArchivesAus,1,7446,27,34,4,32,14
1,2015,@acmadotgov,The ACMA,1,7355,54,292,13,54,20
1,2015,@ACTPolicing,ACT Policing,1,7308,54,254,7,91,19
1,2015,@DIBPAustralia,DIBP Australia,1,7288,129,133,9,95,97
1,2015,@CreativePships,CreativePartnerships,1,7086,17,14,5,11,4
1,2015,@OzDay,Australia Day,1,6739,235,1472,118,1665,215
1,2015,@australiascreen,australianscreen,1,6735,45,49,12,45,19
1,2015,@MoneySmartTeam,MoneySmartTeam,1,6270,53,120,13,58,2
1,2015,@SpaceAustralia,Australian Space,1,6268,0,0,0,0,0
1,2015,@ABARES,ABARES,1,6123,8,22,1,6,1
1,2015,@AustraliaUN,Gary Quinlan,1,6086,4,44,1,61,0
1,2015,@aihw,AIHW,0,5893,1,7,0,2,0
1,2015,@CanberraDSN,CanberraDSN,1,5674,51,186,12,263,59
1,2015,@asicmedia,ASIC Media,1,5371,20,48,0,12,5
1,2015,@Aus_ScienceWeek,NationalScienceWeek,0,4999,83,40,60,43,36
1,2015,@ACCCProdSafety,ACCC Product Safety,1,4658,27,91,3,10,2
1,2015,@CASABriefing,CASA,1,4596,47,162,2,67,6
1,2015,@MeetinAustralia,Biz Events Australia,1,4565,67,57,21,78,30
1,2015,@ItStopsWithMe,Racism.ItStopsWithMe,1,4416,44,97,33,74,6
1,2015,@CPOACT,CPOACT,1,4406,10,17,2,17,9
1,2015,@AusCustomsNews,Australian Customs,1,4405,47,66,1,17,27
1,2015,@eHealthAus,NEHTA eHealth,1,4397,39,40,9,42,3
1,2015,@AirservicesNews,AirservicesAustralia,1,4378,13,46,2,26,1
1,2015,@FSANZnews,FoodStandardsAusNZ,1,4281,27,61,2,13,3
1,2015,@acccgovau,ACCC,1,4277,48,82,2,28,41
1,2015,@AFPmedia,AFP National Media,1,4259,14,91,1,30,4
1,2015,@CybersmartACMA,Cybersmart,0,4152,6,26,2,7,0
1,2015,@NFSAonline,NFSAonline,1,4120,66,92,10,61,29
1,2015,@arc_gov_au,ARC,1,3938,7,31,2,16,4
1,2015,@MoAD_Canberra,MuseumofAusDemocracy,1,3927,78,95,16,42,21
1,2015,@HealthInfoNet,HealthInfoNet,1,3651,82,79,57,25,7
1,2015,@atsbinfo,ATSB,1,3647,23,176,0,53,1
1,2015,@DonateLifeToday,Donate Life Today,1,3564,5,13,0,11,0
1,2015,@AusAntarctic,Antarctic Division,1,3540,47,123,7,70,19
1,2015,@ausoftheyear,AusoftheYearAwards,1,3528,187,1610,89,1449,201
1,2015,@PSInnovate,APS Innovation,1,3494,9,16,2,5,8
1,2015,@AusUnlimited,Australia Unlimited,1,3477,192,323,13,248,326
1,2015,@anti_doping,ASADA Anti-Doping,1,3447,1,6,0,5,0
1,2015,@Centrelink,Centrelink,1,3383,307,27,5,51,274
1,2015,@Aus_Industry,AusIndustry,1,3364,0,0,0,0,0
1,2015,@IDPwD,IDPwD,1,3357,4,12,2,6,1
1,2015,@HumanServicesAU,Human Services,1,3298,166,41,5,21,139
1,2015,@AICriminology,AIC,1,3295,2,8,0,0,0
1,2015,@AusHCPak,Peter Heyward,0,3202,9,68,0,116,2
1,2015,@AusHouseLondon,Aus. High Commission,1,3194,41,42,26,50,16
1,2015,@AusAmbIsrael,Dave Sharma,1,3158,101,482,34,388,26
1,2015,@AusAmbJP,Bruce Miller,1,3152,161,292,64,205,66
1,2015,@ACNC_gov_au,ACNC,1,3092,31,90,2,46,3
1,2015,@FamilyStudies,AIFS,1,3077,26,0,26,0,0
1,2015,@AUS_Hansard,Australian Hansard,1,2968,0,0,0,0,0
1,2015,@PosolAustralia,Paul Myler,1,2927,357,95,300,81,89
1,2015,@NCVER,NCVER,1,2888,77,87,6,29,9
1,2015,@AustraliaUN_GVA,Australia UN Geneva,1,2776,4,5,1,1,1
1,2015,@HWAGovAu,HWAGovAU,1,2760,0,0,0,0,0
1,2015,@MD_Basin_Auth,MD Basin Authority,1,2546,47,47,20,17,18
1,2015,@ACIARAustralia,ACIAR,1,2519,43,10,38,7,4
1,2015,@envirogov,environment.gov.au,1,2475,4,4,2,5,0
1,2015,@AusTrainAwards,Aus Training Awards,1,2446,16,15,1,13,8
1,2015,@questacon,Questacon,1,2360,20,3,16,8,4
1,2015,@DVAAus,"DVA, Australia",1,2316,33,21,16,29,9
1,2015,@OAICgov,OAIC,1,2307,19,36,1,14,10
1,2015,@Treasury_AU,Australian Treasury,1,2293,7,27,0,6,0
1,2015,@ACECQA,ACECQA,1,2265,15,17,0,7,4
1,2015,@nca_media,NCA,1,2033,12,8,1,10,9
1,2015,@WGEAgency,WGEA,1,2001,93,113,13,76,67
1,2015,@HankJongen,Hank Jongen,1,1970,20,1,5,0,15
1,2015,@EduSecretaryAU,Lisa Paul,1,1881,0,0,0,0,0
1,2015,@exportawards,Export Awards,1,1877,0,0,0,0,0
1,2015,@LibrariesAust,Libraries Australia,1,1860,13,35,2,13,2
1,2015,@StudentUpdateAU,Student Update,1,1859,46,10,4,10,25
1,2015,@nywAU,National Youth Week,1,1838,1,0,1,0,0
1,2015,@APRAinfo,APRA,1,1826,3,3,0,1,0
1,2015,@AusHCPNG,Deborah Stokes,1,1812,21,4,18,0,0
1,2015,@AEMKH,EM Knowledge Hub,1,1688,39,58,6,34,18
1,2015,@Parks_Australia,ParksAustralia,1,1684,27,24,6,17,4
1,2015,@ANSTO,ANSTO,0,1673,149,81,14,36,58
1,2015,@AusAmbPH,Bill Tweddell,1,1666,37,27,4,51,21
1,2015,@ozprodcom,Productivity Comm,1,1631,29,75,0,17,0
1,2015,@AusWIGB,Women in Global Biz,1,1596,14,14,3,5,3
1,2015,@ACSQHC,ACSQHC,0,1594,19,50,1,8,0
1,2015,@DefenceHousing,"Defence Housing
",1,1586,18,14,2,9,8
1,2015,@EmbAustraliaBA,Noel Campbell,1,1578,54,38,17,78,38
1,2015,@FamilyCourtAU,Family Court of Aust,1,1558,7,11,0,1,1
1,2015,@AusAmbUAE,Pablo Kang,1,1514,82,204,24,282,113
1,2015,@ANAO_Australia,Audit Office (ANAO),1,1418,7,7,0,2,4
1,2015,@AustradeUK,Austrade UK,1,1400,131,73,0,66,149
1,2015,@PBO_AU,Australian PBO,1,1384,1,3,0,1,0
1,2015,@gbrmarinepark,GBRMPA,1,1324,32,19,19,13,6
1,2015,@AusGovFinance,Dept of Finance,1,1299,2,3,0,0,3
1,2015,@AusHCIndia,Patrick Suckling,1,1294,45,121,7,70,61
1,2015,@AusGovCTO,John Sheridan,1,1290,5,5,0,1,4
1,2015,@FamilyUpdateAU,Family Update,1,1199,39,0,6,0,30
1,2015,@AustradeJakarta,Austrade Indonesia,1,1170,11,0,6,2,5
1,2015,@ANBG,ANBG,1,1161,12,10,2,4,0
1,2015,@AusHCCanada,Australia in Canada,1,1100,84,22,59,25,34
1,2015,@CFCAexchange,CFCA info exchange,1,1066,43,35,20,7,6
1,2015,@ANZSOG,ANZSOG,1,1054,9,0,8,0,0
1,2015,@CSIROhelix,CSIROhelix,1,1034,3,3,0,0,0
1,2015,@naa_digital,naadigital,0,1027,19,2,0,9,0
1,2015,@RoyalAustMint,RoyalAustralianMint,1,994,21,15,3,10,19
1,2015,@comcare_gov_au,Comcare,1,906,0,0,0,0,0
1,2015,@AIFS_SVR,AIFS_SVR,1,878,125,54,59,25,31
1,2015,@AusAmbTurkey,James Larsen,1,861,210,140,92,152,113
