Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
9,2014,@Australia,Australia,1,162976,147,8251,1,12678,168
9,2014,@TourismAus,Tourism Australia,1,54082,163,289,41,237,172
9,2014,@dfat,DFAT,1,31029,328,1122,69,515,298
9,2014,@CSIROnews,CSIRO,1,30516,278,1897,6,904,150
9,2014,@headspace_aus,headspace,1,25896,96,982,23,445,44
9,2014,@AMSA_News,AMSA News,1,24261,12,34,3,19,7
9,2014,@nlagovau,National Library Aus,1,23319,291,577,129,297,117
9,2014,@AusHumanRights,AusHumanRights,1,23089,451,908,178,229,130
9,2014,@auscouncilarts,Australia Council,1,22894,110,198,42,123,51
9,2014,@artsculturegov,AusGov Arts&Culture,1,22267,87,35,75,24,11
9,2014,@RBAInfo,RBA,1,21297,20,213,0,44,0
9,2014,@ato_gov_au,ato.gov.au,1,20272,178,824,6,235,79
9,2014,@Mike_Rann,Mike Rann,1,19831,201,217,42,223,22
9,2014,@AboutTheHouse,About the House,1,19610,168,320,9,102,18
9,2014,@ABSStats,AU Bureau of Stats,1,19183,45,186,0,78,2
9,2014,@NatGalleryAus,National Gallery ,1,19072,78,74,28,72,47
9,2014,@ABSCensus,Census Australia,1,18160,56,362,1,211,9
9,2014,@healthgovau,health.gov.au,1,18091,44,159,1,54,6
9,2014,@ScreenAustralia,Screen Australia,1,17707,54,116,15,79,35
9,2014,@business_gov_au,business.gov.au,1,15410,100,194,35,82,12
9,2014,@Ausport,Australian Sport,1,15107,109,337,45,295,79
9,2014,@AuSenate,Australian Senate,1,14398,191,855,11,209,44
9,2014,@AusAmbUSA,Kim Beazley,1,13294,89,132,53,114,29
9,2014,@nhmrc,NHMRC,1,12746,6,56,0,15,6
9,2014,@AustralianArmy,The Australian Army,1,12725,19,42,11,39,4
9,2014,@Australian_Navy,RoyalAustralianNavy,1,11662,156,814,41,628,1
9,2014,@indigenous_gov,Closing the Gap,1,11198,73,192,12,136,38
