Month,Year,Twitter,Display Name,Verified,End of Month Followers,Tweets,Total Times Retweeted,Others Retweeted,Total Times Favourited,Times Other User Mentioned
3,2015,@Australia,Australia,1,220308,185,9392,35,16280,186
3,2015,@TourismAus,Tourism Australia,1,69155,78,302,5,271,70
3,2015,@CSIROnews,CSIRO,1,36649,219,1379,29,793,69
3,2015,@dfat,DFAT,1,35709,280,1291,66,729,138
3,2015,@AusHumanRights,AusHumanRights,1,29772,324,629,249,277,75
3,2015,@headspace_aus,headspace,1,29458,105,647,33,542,35
3,2015,@nlagovau,National Library Aus,1,27752,147,415,56,278,124
3,2015,@NatGalleryAus,National Gallery ,1,27486,412,1063,59,1314,250
3,2015,@nma,NationalMuseumofAust,1,26803,121,667,25,843,44
3,2015,@auscouncilarts,Australia Council,1,25882,223,387,118,361,36
3,2015,@artsculturegov,AusGov Arts&Culture,1,25515,218,162,162,144,52
3,2015,@RBAInfo,RBA,1,24516,25,291,1,70,0
3,2015,@AMSA_News,AMSA News,1,23720,1,0,1,0,0
3,2015,@ato_gov_au,ato.gov.au,1,23169,209,346,15,159,131
3,2015,@ABSStats,AU Bureau of Stats,1,21301,30,122,0,61,0
3,2015,@healthgovau,Department of Health,1,21284,91,348,0,131,13
3,2015,@AboutTheHouse,About the House,1,20845,223,298,7,130,63
3,2015,@Mike_Rann,Mike Rann,1,20777,71,95,14,128,15
3,2015,@ScreenAustralia,Screen Australia,1,20646,166,428,18,443,254
3,2015,@ABSCensus,Census Australia,1,20391,58,413,0,283,10
3,2015,@Ausport,Australian Sport,1,19107,121,390,60,444,87
3,2015,@business_gov_au,business.gov.au,1,18249,62,145,1,76,10
3,2015,@AuSenate,Australian Senate,1,17014,423,1647,45,672,178
3,2015,@nhmrc,NHMRC,1,15359,15,175,0,67,17
3,2015,@AustralianArmy,The Australian Army,1,14854,86,222,59,189,21
3,2015,@AusAmbUSA,Kim Beazley,1,14672,96,210,53,165,42
3,2015,@Australian_Navy,RoyalAustralianNavy,1,14041,356,1749,177,1438,22
3,2015,@AWMemorial,Aust War Memorial,1,13897,173,440,78,468,14
3,2015,@indigenous_gov,Closing the Gap,1,13218,93,201,23,152,44
3,2015,@experiment_arts,Experimental Arts,1,12646,0,0,0,0,0
3,2015,@NPG_Canberra,Portrait Gallery,1,12452,26,39,16,33,17
3,2015,@Aus_AirForce,RAAF - Aus_AirForce,1,11646,124,546,38,462,23
3,2015,@BOM_Qld,BOM Queensland,1,11083,164,1634,13,520,3
3,2015,@FutureUnlimited,Study in Australia,1,11011,9,8,2,4,9
3,2015,@ACTPol_Traffic,ACTPol_Traffic,1,10881,81,117,4,18,8
3,2015,@fairwork_gov_au,Fair Work Ombudsman,1,9832,96,221,1,75,29
3,2015,@DeptDefence,Dept of Defence,1,9678,190,995,79,713,55
3,2015,@Eduspokesperson,Eduspokesperson,1,9592,17,36,7,14,0
3,2015,@RecogniseAU,RECOGNISE,1,9538,197,332,98,139,149
3,2015,@TroveAustralia,Trove,1,9421,78,435,7,321,32
3,2015,@AusLawReform,ALRC,1,9233,30,45,8,22,22
3,2015,@MoneySmartTeam,MoneySmartTeam,1,9231,60,161,10,110,7
3,2015,@DubesAustralia,Paul Grigson,1,9173,129,182,14,86,86
3,2015,@Austrade,Austrade,1,8805,50,149,9,81,22
3,2015,@naagovau,NationalArchivesAus,1,8789,42,89,7,86,21
3,2015,@ASIC_Connect,ASIC Connect,1,8781,43,32,2,22,24
3,2015,@ParlLibrary,Parliament Library,1,8738,34,109,0,33,0
3,2015,@ANMMuseum,Nat. Maritime Museum,1,8716,62,257,18,160,50
3,2015,@CommsAu,Dept. Communications,1,8488,169,413,58,191,72
3,2015,@DeptAgNews,Dept of Agriculture,1,8392,33,94,2,31,33
3,2015,@AusElectoralCom,AEC,1,8357,19,74,4,18,15
3,2015,@ArtStartGrants,ArtStartGrants,0,8176,7,5,3,0,3
3,2015,@SCAMwatch_gov,SCAMwatch_gov_au,1,8120,33,158,12,38,0
3,2015,@Theatre_OzCo,Theatre,1,8027,1,4,0,5,0
3,2015,@G20Australia,Australia G20,1,7946,0,0,0,0,0
3,2015,@ACTPolicing,ACT Policing,1,7853,86,720,15,247,22
3,2015,@DIBPAustralia,DIBP Australia,1,7804,115,58,8,50,99
3,2015,@acmadotgov,The ACMA,1,7655,86,194,25,65,14
3,2015,@CreativePships,CreativePartnerships,1,7339,115,79,37,77,50
3,2015,@australiascreen,australianscreen,1,7020,20,12,3,12,1
3,2015,@OzDay,Australia Day,1,6624,8,41,3,50,6
3,2015,@BOM_Vic,BOM Victoria,1,6448,71,299,14,154,4
3,2015,@ABARES,ABARES,1,6443,260,209,186,95,23
3,2015,@SpaceAustralia,Australian Space,1,6399,0,0,0,0,0
3,2015,@AustraliaUN,Gillian Bird,1,6336,66,95,43,55,18
3,2015,@asicmedia,ASIC Media,1,6230,172,332,6,121,63
3,2015,@aihw,AIHW,0,6201,11,24,0,8,10
3,2015,@CanberraDSN,CanberraDSN,1,5959,72,216,8,258,29
3,2015,@Aus_ScienceWeek,NationalScienceWeek,0,5398,194,220,103,160,97
3,2015,@AFPmedia,AFP National Media,1,5008,22,93,5,72,7
3,2015,@CASABriefing,CASA,1,4892,70,135,6,69,10
3,2015,@MeetinAustralia,Biz Events Australia,1,4875,89,79,37,98,49
3,2015,@ACCCProdSafety,ACCC Product Safety,1,4840,74,246,17,32,1
3,2015,@ItStopsWithMe,Racism.ItStopsWithMe,1,4778,55,118,35,70,15
3,2015,@AusCustomsNews,Australian Customs,1,4731,36,41,9,24,12
3,2015,@acccgovau,ACCC,1,4696,78,103,4,36,21
3,2015,@eHealthAus,NEHTA eHealth,1,4661,74,75,10,63,28
3,2015,@AusHCPak,Peter Heyward,0,4632,22,65,12,163,3
3,2015,@AirservicesNews,AirservicesAustralia,1,4613,48,159,11,79,10
3,2015,@MoAD_Canberra,MuseumofAusDemocracy,1,4487,399,557,108,772,236
3,2015,@CPOACT,CPOACT,1,4443,7,16,1,7,8
3,2015,@FSANZnews,FoodStandardsAusNZ,1,4433,34,87,0,20,9
3,2015,@CybersmartACMA,Cybersmart,0,4409,17,66,5,16,4
3,2015,@NFSAonline,NFSAonline,1,4350,113,104,19,97,61
3,2015,@arc_gov_au,ARC,1,4265,20,13,13,6,7
3,2015,@BOM_NSW,BOM New South Wales,1,4122,64,218,13,105,1
3,2015,@BOM_au,BOM Australia,1,4090,64,907,9,338,1
3,2015,@HealthInfoNet,HealthInfoNet,1,3856,140,71,109,29,16
3,2015,@atsbinfo,ATSB,1,3819,25,126,0,71,1
3,2015,@AusAntarctic,Antarctic Division,1,3782,53,144,14,64,5
3,2015,@DonateLifeToday,Donate Life Today,1,3721,30,63,8,39,8
3,2015,@Centrelink,Centrelink,1,3627,230,5,3,10,236
3,2015,@PSInnovate,APS Innovation,1,3584,11,3,2,6,1
3,2015,@AusUnlimited,Australia Unlimited,1,3581,62,98,5,87,80
3,2015,@HumanServicesAU,Human Services,1,3581,176,32,2,36,141
3,2015,@ausoftheyear,AusoftheYearAwards,1,3563,39,77,26,73,32
3,2015,@anti_doping,ASADA Anti-Doping,1,3542,2,5,0,1,0
3,2015,@BOM_WA,BOM WA,1,3470,180,900,40,261,7
3,2015,@IDPwD,IDPwD,1,3446,8,2,6,1,1
3,2015,@AICriminology,AIC,1,3439,63,117,10,13,6
3,2015,@Aus_Industry,AusIndustry,1,3410,0,0,0,0,0
3,2015,@AusHouseLondon,Aus. High Commission,1,3343,77,73,46,66,35
3,2015,@AusAmbJP,Bruce Miller,1,3329,188,279,55,295,30
